date,image_path,cloud_percentage,lat,lon,chlorophyll_a,sst,rainfall,wind_speed,chlorophyll_imputed
2024-01-03,data/sentinel2/processed/2024-01-03.tif,,9.6,76.4,1.0540777,29.60205,6.679,0.957,0
2024-01-13,data/sentinel2/processed/2024-01-13.tif,,9.6,76.4,1.5795158,29.211426,0.125,1.305,0
2024-01-18,data/sentinel2/processed/2024-01-18.tif,,9.6,76.4,1.7149397,29.084656,0.278,1.402,0
2024-01-23,data/sentinel2/processed/2024-01-23.tif,,9.6,76.4,1.2317916,29.293884,0.518,1.519,0
2024-01-28,data/sentinel2/processed/2024-01-28.tif,,9.6,76.4,4.299057,29.118164,0.0,1.252,0
2024-02-02,data/sentinel2/processed/2024-02-02.tif,,9.6,76.4,0.88399345,29.306824,0.001,1.487,0
2024-02-07,data/sentinel2/processed/2024-02-07.tif,,9.6,76.4,0.7532649,29.468903,0.005,1.513,0
2024-02-12,data/sentinel2/processed/2024-02-12.tif,,9.6,76.4,1.069093,29.283936,0.002,1.508,0
2024-02-17,data/sentinel2/processed/2024-02-17.tif,,9.6,76.4,2.0156777,29.530457,0.0,1.31,0
2024-02-22,data/sentinel2/processed/2024-02-22.tif,,9.6,76.4,1.8928791,29.869415,0.319,1.503,0
2024-02-27,data/sentinel2/processed/2024-02-27.tif,,9.6,76.4,2.2027059,29.891113,0.095,1.071,0
2024-03-03,data/sentinel2/processed/2024-03-03.tif,,9.6,76.4,3.6603785,29.986176,0.168,1.588,0
2024-03-08,data/sentinel2/processed/2024-03-08.tif,,9.6,76.4,2.7773676,29.966461,0.046,1.534,0
2024-03-13,data/sentinel2/processed/2024-03-13.tif,,9.6,76.4,0.3560643,30.381653,0.782,1.294,0
2024-03-18,data/sentinel2/processed/2024-03-18.tif,,9.6,76.4,2.386829,30.410309,1.577,1.441,0
2024-03-23,data/sentinel2/processed/2024-03-23.tif,,9.6,76.4,2.0374908,30.307007,27.945,1.443,0
2024-03-28,data/sentinel2/processed/2024-03-28.tif,,9.6,76.4,0.6029052,30.654083,3.418,1.315,0
2024-04-27,data/sentinel2/processed/2024-04-27.tif,,9.6,76.4,0.907439,31.542511,1.988,1.386,0
2024-05-07,data/sentinel2/processed/2024-05-07.tif,,9.6,76.4,1.7037519,31.570312,0.35,1.753,0
2024-05-17,data/sentinel2/processed/2024-05-17.tif,,9.6,76.4,0.6015897,31.025452,45.682,0.982,0
2024-06-11,data/sentinel2/processed/2024-06-11.tif,,9.6,76.4,2.3905883,29.301025,30.827,1.492,0
2024-07-11,data/sentinel2/processed/2024-07-11.tif,,9.6,76.4,5.3376365,28.164673,5.573,2.103,0
2024-08-25,data/sentinel2/processed/2024-08-25.tif,,9.6,76.4,4.821657,28.135986,4.466,1.443,0
2024-09-29,data/sentinel2/processed/2024-09-29.tif,,9.6,76.4,13.782154,28.497833,3.865,0.985,0
2024-10-04,data/sentinel2/processed/2024-10-04.tif,,9.6,76.4,1.8110814,28.904205,12.036,1.224,0
2024-11-03,data/sentinel2/processed/2024-11-03.tif,,9.6,76.4,3.936904,29.439026,17.362,1.186,0
2024-12-08,data/sentinel2/processed/2024-12-08.tif,,9.6,76.4,0.87872034,29.38205,1.321,0.794,0
2024-12-13,data/sentinel2/processed/2024-12-13.tif,,9.6,76.4,0.87872034,29.103394,38.681,0.79,1
2024-12-18,data/sentinel2/processed/2024-12-18.tif,,9.6,76.4,0.91696924,29.17566,0.069,1.274,0
2024-12-23,data/sentinel2/processed/2024-12-23.tif,,9.6,76.4,6.346596,29.101501,0.334,1.448,0
2024-12-28,data/sentinel2/processed/2024-12-28.tif,,9.6,76.4,2.8081024,29.295776,0.315,1.046,0
