date,image_path,cloud_percentage,lat,lon,chlorophyll_a,sst,rainfall,wind_speed,chlorophyll_imputed,target_date,future_chlorophyll_a
2024-01-13,data/sentinel2/processed/2024-01-13.tif,,9.6,76.4,1.5795158,29.211426,0.125,1.305,0,2024-01-18,1.7149397
2024-01-18,data/sentinel2/processed/2024-01-18.tif,,9.6,76.4,1.7149397,29.084656,0.278,1.402,0,2024-01-23,1.2317916
2024-01-23,data/sentinel2/processed/2024-01-23.tif,,9.6,76.4,1.2317916,29.293884,0.518,1.519,0,2024-01-28,4.299057
2024-01-28,data/sentinel2/processed/2024-01-28.tif,,9.6,76.4,4.299057,29.118164,0.0,1.252,0,2024-02-02,0.88399345
2024-02-02,data/sentinel2/processed/2024-02-02.tif,,9.6,76.4,0.88399345,29.306824,0.001,1.487,0,2024-02-07,0.7532649
2024-02-07,data/sentinel2/processed/2024-02-07.tif,,9.6,76.4,0.7532649,29.468903,0.005,1.513,0,2024-02-12,1.069093
2024-02-12,data/sentinel2/processed/2024-02-12.tif,,9.6,76.4,1.069093,29.283936,0.002,1.508,0,2024-02-17,2.0156777
2024-02-17,data/sentinel2/processed/2024-02-17.tif,,9.6,76.4,2.0156777,29.530457,0.0,1.31,0,2024-02-22,1.8928791
2024-02-22,data/sentinel2/processed/2024-02-22.tif,,9.6,76.4,1.8928791,29.869415,0.319,1.503,0,2024-02-27,2.2027059
2024-02-27,data/sentinel2/processed/2024-02-27.tif,,9.6,76.4,2.2027059,29.891113,0.095,1.071,0,2024-03-03,3.6603785
2024-03-03,data/sentinel2/processed/2024-03-03.tif,,9.6,76.4,3.6603785,29.986176,0.168,1.588,0,2024-03-08,2.7773676
2024-03-08,data/sentinel2/processed/2024-03-08.tif,,9.6,76.4,2.7773676,29.966461,0.046,1.534,0,2024-03-13,0.3560643
2024-03-13,data/sentinel2/processed/2024-03-13.tif,,9.6,76.4,0.3560643,30.381653,0.782,1.294,0,2024-03-18,2.386829
2024-03-18,data/sentinel2/processed/2024-03-18.tif,,9.6,76.4,2.386829,30.410309,1.577,1.441,0,2024-03-23,2.0374908
2024-03-23,data/sentinel2/processed/2024-03-23.tif,,9.6,76.4,2.0374908,30.307007,27.945,1.443,0,2024-03-28,0.6029052
2024-03-28,data/sentinel2/processed/2024-03-28.tif,,9.6,76.4,0.6029052,30.654083,3.418,1.315,0,2024-04-02,0.5688583
2024-04-27,data/sentinel2/processed/2024-04-27.tif,,9.6,76.4,0.907439,31.542511,1.988,1.386,0,2024-05-02,0.45197412
2024-05-07,data/sentinel2/processed/2024-05-07.tif,,9.6,76.4,1.7037519,31.570312,0.35,1.753,0,2024-05-12,0.91077024
2024-06-11,data/sentinel2/processed/2024-06-11.tif,,9.6,76.4,2.3905883,29.301025,30.827,1.492,0,2024-06-16,1.328668
2024-09-29,data/sentinel2/processed/2024-09-29.tif,,9.6,76.4,13.782154,28.497833,3.865,0.985,0,2024-10-04,1.8110814
2024-10-04,data/sentinel2/processed/2024-10-04.tif,,9.6,76.4,1.8110814,28.904205,12.036,1.224,0,2024-10-09,0.83386534
2024-12-13,data/sentinel2/processed/2024-12-13.tif,,9.6,76.4,0.87872034,29.103394,38.681,0.79,1,2024-12-18,0.91696924
2024-12-18,data/sentinel2/processed/2024-12-18.tif,,9.6,76.4,0.91696924,29.17566,0.069,1.274,0,2024-12-23,6.346596
2024-12-23,data/sentinel2/processed/2024-12-23.tif,,9.6,76.4,6.346596,29.101501,0.334,1.448,0,2024-12-28,2.8081024
