date,rainfall,wind_speed
2024-01-01,0.508,1.068
2024-01-02,5.651,1.034
2024-01-03,6.679,0.957
2024-01-04,21.702,1.046
2024-01-05,2.271,0.873
2024-01-06,2.055,0.968
2024-01-07,1.902,0.743
2024-01-08,10.284,0.957
2024-01-09,24.484,1.17
2024-01-10,0.371,0.691
2024-01-11,0.001,0.928
2024-01-12,0.0,1.209
2024-01-13,0.125,1.305
2024-01-14,0.004,1.182
2024-01-15,0.022,1.374
2024-01-16,0.489,1.088
2024-01-17,0.407,1.104
2024-01-18,0.278,1.402
2024-01-19,1.534,1.145
2024-01-20,1.774,1.017
2024-01-21,0.154,1.168
2024-01-22,1.718,1.372
2024-01-23,0.518,1.519
2024-01-24,2.979,1.323
2024-01-25,4.67,1.397
2024-01-26,0.058,1.274
2024-01-27,0.0,1.362
2024-01-28,0.0,1.252
2024-01-29,0.0,1.296
2024-01-30,0.0,1.154
2024-01-31,0.028,1.591
2024-02-01,0.004,1.879
2024-02-02,0.001,1.487
2024-02-03,0.099,1.16
2024-02-04,0.0,1.6
2024-02-05,0.002,1.412
2024-02-06,0.0,1.353
2024-02-07,0.005,1.513
2024-02-08,0.01,1.496
2024-02-09,0.075,1.306
2024-02-10,0.011,0.924
2024-02-11,0.005,1.35
2024-02-12,0.002,1.508
2024-02-13,0.032,1.469
2024-02-14,0.008,1.316
2024-02-15,0.001,1.194
2024-02-16,0.001,1.208
2024-02-17,0.0,1.31
2024-02-18,0.034,1.119
2024-02-19,0.002,1.433
2024-02-20,1.801,1.357
2024-02-21,1.103,1.552
2024-02-22,0.319,1.503
2024-02-23,0.03,1.783
2024-02-24,0.204,1.852
2024-02-25,0.092,1.487
2024-02-26,0.029,1.322
2024-02-27,0.095,1.071
2024-02-28,0.615,1.355
2024-02-29,0.0,1.445
2024-03-01,0.013,1.287
2024-03-02,0.005,1.564
2024-03-03,0.168,1.588
2024-03-04,0.253,1.724
2024-03-05,0.088,1.653
2024-03-06,0.027,2.346
2024-03-07,0.014,1.634
2024-03-08,0.046,1.534
2024-03-09,0.409,1.422
2024-03-10,0.042,1.155
2024-03-11,0.036,1.175
2024-03-12,0.321,1.327
2024-03-13,0.782,1.294
2024-03-14,0.468,2.048
2024-03-15,0.08,2.322
2024-03-16,0.121,1.475
2024-03-17,0.554,1.559
2024-03-18,1.577,1.441
2024-03-19,0.91,1.365
2024-03-20,0.353,1.432
2024-03-21,0.032,1.519
2024-03-22,1.636,1.531
2024-03-23,27.945,1.443
2024-03-24,0.275,1.189
2024-03-25,2.123,1.396
2024-03-26,2.925,1.418
2024-03-27,1.098,1.353
